Country Name,Country Code,2017,2018,2019
Aruba,ABW,3056424581,,
Afghanistan,AFG,18869945678,18353881130,19291104008
Angola,AGO,1.22124E+11,1.01353E+11,88815697793
Albania,ALB,13019693451,15147020535,15279183290
Andorra,AND,3000180750,3218316013,3154057987
Arab World,ARB,2.51612E+12,2.77138E+12,2.81741E+12
United Arab Emirates,ARE,3.85606E+11,4.22215E+11,4.21142E+11
Argentina,ARG,6.43629E+11,5.17627E+11,4.45445E+11
Armenia,ARM,11527458566,12457941907,13672802158
American Samoa,ASM,602000000,636000000,
Antigua and Barbuda,ATG,1467977778,1605351852,1661962963
Australia,AUS,1.32919E+12,1.43288E+12,1.39657E+12
Austria,AUT,4.17238E+11,4.55095E+11,4.45075E+11
Azerbaijan,AZE,40865558912,47112941176,48047647059
Burundi,BDI,3172292379,3036931818,3012334882
Belgium,BEL,5.02698E+11,5.43734E+11,5.33097E+11
Benin,BEN,12701656931,14250985959,14390709095
Burkina Faso,BFA,14106956830,16059910871,15990803570
Bangladesh,BGD,2.49711E+11,2.74039E+11,3.02571E+11
Bulgaria,BGR,58971520599,66230155100,68558815112
Bahrain,BHR,35473776596,37652500000,38574069149
"Bahamas, The",BHS,12490700000,13022100000,13578800000
Bosnia and Herzegovina,BIH,18080118128,20183510561,20164193807
Belarus,BLR,54726595249,60031262269,63080457023
Belize,BLZ,1836600000,1871200000,1879613600
Bermuda,BMU,7142316000,7224329000,7484113000
Bolivia,BOL,37508642165,40287647930,40895322844
Brazil,BRA,2.06283E+12,1.88548E+12,1.83976E+12
Barbados,BRB,4978000000,5086500000,5209000000
Brunei Darussalam,BRN,12128104859,13567351175,13469422959
Bhutan,BTN,2450364928,2446866405,2530547158
Botswana,BWA,17405588070,18663265549,18340480936
Central African Republic,CAF,2072350151,2220978978,2220307369
Canada,CAN,1.64988E+12,1.71626E+12,1.73643E+12
Central Europe and the Baltics,CEB,1.4635E+12,1.64444E+12,1.66885E+12
Switzerland,CHE,6.7995E+11,7.05141E+11,7.03082E+11
Channel Islands,CHI,,,
Chile,CHL,2.77045E+11,2.98258E+11,2.82318E+11
China,CHN,1.23104E+13,1.38948E+13,1.43429E+13
Cote d'Ivoire,CIV,51588158718,58011466451,58539424930
Cameroon,CMR,35009262788,38694156863,39007354359
"Congo, Dem. Rep.",COD,38019265626,46831342213,50400746171
"Congo, Rep.",COG,11198674674,13518403447,12267392147
Colombia,COL,3.11884E+11,3.33569E+11,3.23616E+11
Comoros,COM,1077439663,1178530758,1165839927
Cabo Verde,CPV,1769787215,1966983317,1981845740
Costa Rica,CRI,58481858043,60553901420,61801385049
Caribbean small states,CSS,71452564226,74967267520,77721714918
Cuba,CUB,96851000000,1.00023E+11,
Curacao,CUW,3116610112,3127908045,3101787709
Cayman Islands,CYM,5153091158,5517361238,
Cyprus,CYP,22729184365,25309818139,24948935408
Czech Republic,CZE,2.18629E+11,2.48909E+11,2.50681E+11
Germany,DEU,3.6826E+12,3.96377E+12,3.86112E+12
Djibouti,DJI,2751461056,3012820410,3324634256
Dominica,DMA,519837037,551074074.1,582403703.7
Denmark,DNK,3.32121E+11,3.56879E+11,3.50104E+11
Dominican Republic,DOM,79997975623,85555378044,88941299734
Algeria,DZA,1.70163E+11,1.75406E+11,1.71091E+11
East Asia & Pacific (excluding high income),EAP,1.4836E+13,1.65941E+13,1.72148E+13
Early-demographic dividend,EAR,1.13997E+13,1.1646E+13,1.19899E+13
East Asia & Pacific,EAS,2.42227E+13,2.63513E+13,2.69878E+13
Europe & Central Asia (excluding high income),ECA,3.11481E+12,3.19214E+12,3.24846E+12
Europe & Central Asia,ECS,2.16108E+13,2.31457E+13,2.27928E+13
Ecuador,ECU,1.04296E+11,1.07562E+11,1.07436E+11
"Egypt, Arab Rep.",EGY,2.35734E+11,2.49713E+11,3.03092E+11
Euro area,EMU,1.2671E+13,1.36869E+13,1.33561E+13
Eritrea,ERI,,,
Spain,ESP,1.31254E+12,1.42215E+12,1.39349E+12
Estonia,EST,26951648829,30631142227,31471100656
Ethiopia,ETH,81770791971,84269348327,95912590628
European Union,EUU,1.47584E+13,1.5965E+13,1.56264E+13
Fragile and conflict affected situations,FCS,1.56959E+12,1.69825E+12,1.77846E+12
Finland,FIN,2.55232E+11,2.75947E+11,2.69296E+11
Fiji,FJI,5353404419,5581393121,5496250694
France,FRA,2.59515E+12,2.78786E+12,2.71552E+12
Faroe Islands,FRO,2905102304,3116887847,
"Micronesia, Fed. Sts.",FSM,366666800,401932300,
Gabon,GAB,14929488771,16862282414,16874450215
United Kingdom,GBR,2.66623E+12,2.86067E+12,2.82911E+12
Georgia,GEO,16242916916,17599700091,17477255546
Ghana,GHA,58998132330,65556464048,66983634224
Gibraltar,GIB,,,
Guinea,GIN,10324668267,10907214994,12296665331
"Gambia, The",GMB,1504909753,1670670669,1826073740
Guinea-Bissau,GNB,1350177128,1458868242,1339449165
Equatorial Guinea,GNQ,12200914930,13278488567,11026774945
Greece,GRC,2.03588E+11,2.18138E+11,2.09853E+11
Grenada,GRD,1125685185,1168696296,1210603704
Greenland,GRL,2826651926,3051626390,
Guatemala,GTM,71612352645,73118147941,76710355347
Guam,GUM,5851000000,5920000000,
Guyana,GUY,4748174334,4787635821,5173759528
High income,HIC,5.14683E+13,5.46569E+13,5.51406E+13
"Hong Kong SAR, China",HKG,3.41244E+11,3.61697E+11,3.65712E+11
Honduras,HND,23136232230,24024189736,25095395475
Heavily indebted poor countries (HIPC),HPC,7.13187E+11,7.59124E+11,7.83062E+11
Croatia,HRV,55481644098,61375222347,60752588976
Haiti,HTI,14213814583,15965670198,14332163266
Hungary,HUN,1.42962E+11,1.60419E+11,1.63469E+11
IBRD only,IBD,2.88642E+13,3.08077E+13,3.16041E+13
IDA & IBRD total,IBT,3.09649E+13,3.30323E+13,3.39172E+13
IDA total,IDA,2.10739E+12,2.2311E+12,2.32031E+12
IDA blend,IDB,9.22589E+11,9.64268E+11,9.91548E+11
Indonesia,IDN,1.01562E+12,1.04224E+12,1.11919E+12
IDA only,IDX,1.1855E+12,1.26882E+12,1.33197E+12
Isle of Man,IMN,6979581725,7491969313,
India,IND,2.65275E+12,2.71317E+12,2.86893E+12
Not classified,INX,,,
Ireland,IRL,3.35663E+11,3.82674E+11,3.88699E+11
"Iran, Islamic Rep.",IRN,4.45345E+11,4.53996E+11,
Iraq,IRQ,1.95473E+11,2.24228E+11,2.34094E+11
Iceland,ISL,24488176541,25737594324,24188038474
Israel,ISR,3.53253E+11,3.70588E+11,3.94652E+11
Italy,ITA,1.9618E+12,2.09154E+12,2.00358E+12
Jamaica,JAM,14806340821,15713908816,16458071068
Jordan,JOR,41408960787,42932112676,44502895862
Japan,JPN,4.86686E+12,4.95481E+12,5.08177E+12
Kazakhstan,KAZ,1.66806E+11,1.7934E+11,1.81666E+11
Kenya,KEN,78965004656,87778582964,95503088538
Kyrgyz Republic,KGZ,7702934800,8271108638,8454619608
Cambodia,KHM,22177200512,24571753583,27089389787
Kiribati,KIR,187276210.9,196737896,194647201.9
St. Kitts and Nevis,KNA,996944444.4,1010822222,1053244444
"Korea, Rep.",KOR,1.6239E+12,1.72485E+12,1.64674E+12
Kuwait,KWT,1.20707E+11,1.40645E+11,1.34629E+11
Latin America & Caribbean (excluding high income),LAC,5.42541E+12,5.22607E+12,5.1496E+12
Lao PDR,LAO,16853087485,17953786416,18173839147
Lebanon,LBN,53140638269,54961275742,51991634492
Liberia,LBR,3285455000,3264000000,3070518100
Libya,LBY,37883243650,52607888718,52091152228
St. Lucia,LCA,1999090407,2065875074,2122450630
Latin America & Caribbean,LCN,5.99543E+12,5.82356E+12,5.73377E+12
Least developed countries: UN classification,LDC,1.03342E+12,1.07344E+12,1.11524E+12
Low income,LIC,5.03284E+11,5.18429E+11,5.41512E+11
Liechtenstein,LIE,6552858739,6876981286,
Sri Lanka,LKA,87428125558,88425889592,84008783756
Lower middle income,LMC,5.76876E+12,6.00731E+12,6.33493E+12
Low & middle income,LMY,2.98698E+13,3.1818E+13,3.27091E+13
Lesotho,LSO,2405289384,2575892262,2376328637
Late-demographic dividend,LTE,2.05474E+13,2.25088E+13,2.29835E+13
Lithuania,LTU,47758736932,53722883091,54627411860
Luxembourg,LUX,64181944723,70919958016,71104919108
Latvia,LVA,30458763246,34416012859,34102913582
"Macao SAR, China",MAC,50751059058,55084050790,53859116536
St. Martin (French part),MAF,,,
Morocco,MAR,1.09683E+11,1.18096E+11,1.197E+11
Monaco,MCO,6431314957,7188238073,
Moldova,MDA,9669759987,11456717193,11968713370
Madagascar,MDG,13176313233,13853433948,14114631281
Maldives,MDV,4754352301,5299773145,5642179170
Middle East & North Africa,MEA,3.27261E+12,3.56614E+12,3.64961E+12
Mexico,MEX,1.15891E+12,1.22235E+12,1.26887E+12
Marshall Islands,MHL,212881000,221278000,
Middle income,MIC,2.93555E+13,3.1284E+13,3.21533E+13
North Macedonia,MKD,11307058382,12683073866,12547040499
Mali,MLI,15365627045,17070758732,17279566719
Malta,MLT,13146963159,14750790658,14989415684
Myanmar,MMR,68945867478,76168043982,76085852617
Middle East & North Africa (excluding high income),MNA,1.43655E+12,1.52042E+12,
Montenegro,MNE,4844606146,5504255214,5542577965
Mongolia,MNG,11425755280,13108769496,13996719329
Northern Mariana Islands,MNP,1601000000,1323000000,
Mozambique,MOZ,13219084261,14845870051,15291448212
Mauritania,MRT,6758390729,7049169771,7600656944
Mauritius,MUS,13259351418,14181951059,14048430519
Malawi,MWI,6303292264,6917301909,7666704427
Malaysia,MYS,3.19112E+11,3.58715E+11,3.64681E+11
North America,NAC,2.11764E+13,2.23036E+13,2.31771E+13
Namibia,NAM,12741746524,13454211344,12366528259
New Caledonia,NCL,,,
Niger,NER,11189541083,12846952857,12911689659
Nigeria,NGA,3.75746E+11,3.9719E+11,4.4812E+11
Nicaragua,NIC,13785909906,13063904770,12520915291
Netherlands,NLD,8.3387E+11,9.14043E+11,9.07051E+11
Norway,NOR,3.98394E+11,4.34167E+11,4.03336E+11
Nepal,NPL,25180583770,29173513476,30641380604
Nauru,NRU,109585941.6,124021393.7,118223430.1
New Zealand,NZL,2.05416E+11,2.07921E+11,2.06929E+11
OECD members,OED,5.03202E+13,5.32016E+13,5.36994E+13
Oman,OMN,70598026283,79788768969,76331518669
Other small states,OSS,3.98893E+11,4.42418E+11,4.32093E+11
Pakistan,PAK,3.04567E+11,3.14568E+11,2.78222E+11
Panama,PAN,62219000000,65128200000,66800800000
Peru,PER,2.11007E+11,2.22045E+11,2.26848E+11
Philippines,PHL,3.28481E+11,3.46842E+11,3.76796E+11
Palau,PLW,286106800,280435700,268354919.4
Papua New Guinea,PNG,22742613549,24109509856,24829107011
Poland,POL,5.26509E+11,5.87412E+11,5.95858E+11
Pre-demographic dividend,PRE,1.2671E+12,1.33875E+12,1.40379E+12
Puerto Rico,PRI,1.03446E+11,1.0098E+11,1.04989E+11
"Korea, Dem. People’s Rep.",PRK,,,
Portugal,PRT,2.21358E+11,2.42313E+11,2.38785E+11
Paraguay,PRY,39008900332,40384691791,38145288940
West Bank and Gaza,PSE,16128000000,16276600000,
Pacific island small states,PSS,10212875641,10667782838,10634784073
Post-demographic dividend,PST,4.74703E+13,5.02821E+13,5.07699E+13
French Polynesia,PYF,,,
Qatar,QAT,1.61099E+11,1.83335E+11,1.75838E+11
Romania,ROU,2.11695E+11,2.41457E+11,2.50077E+11
Russian Federation,RUS,1.5742E+12,1.66958E+12,1.69988E+12
Rwanda,RWA,9253098954,9635951160,10354417725
South Asia,SAS,3.34572E+12,3.44547E+12,3.59184E+12
Saudi Arabia,SAU,6.88586E+11,7.86522E+11,7.92967E+11
Sudan,SDN,45021077955,33128480499,30513456085
Senegal,SEN,20996564752,23236007428,23578084052
Singapore,SGP,3.41863E+11,3.73217E+11,3.72063E+11
Solomon Islands,SLB,1483758907,1593964162,1589913622
Sierra Leone,SLE,3739577973,4085114794,4121733705
El Salvador,SLV,24979200000,26117400000,27022640000
San Marino,SMR,1528630707,1655300873,
Somalia,SOM,,,
Serbia,SRB,44179055280,50640650221,51475016532
Sub-Saharan Africa (excluding high income),SSA,1.62699E+12,1.70538E+12,1.75118E+12
South Sudan,SSD,,,
Sub-Saharan Africa,SSF,1.64178E+12,1.72116E+12,1.76694E+12
Small states,SST,4.80559E+11,5.28053E+11,5.20457E+11
Sao Tome and Principe,STP,375614556.4,412261829.6,418637389
Suriname,SUR,3216207914,3464656616,3697371950
Slovak Republic,SVK,95494424979,1.05702E+11,1.0508E+11
Slovenia,SVN,48586603448,54161636035,54174227309
Sweden,SWE,5.41019E+11,5.55455E+11,5.30884E+11
Eswatini,SWZ,4402973000,4665424249,4471598727
Sint Maarten (Dutch part),SXM,1191620112,1185474860,
Seychelles,SYC,1524486800,1586009000,1703387387
Syrian Arab Republic,SYR,,,
Turks and Caicos Islands,TCA,1022365000,1113178000,1197415000
Chad,TCD,10000395242,11239167048,11314951343
East Asia & Pacific (IDA & IBRD countries),TEA,1.48077E+13,1.65625E+13,1.71819E+13
Europe & Central Asia (IDA & IBRD countries),TEC,3.9085E+12,4.08239E+12,4.15516E+12
Togo,TGO,4819949975,5364369026,5490272413
Thailand,THA,4.56295E+11,5.06514E+11,5.43549E+11
Tajikistan,TJK,7157865188,7522947810,8116626794
Turkmenistan,TKM,37926285714,40761142857,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.75525E+12,5.58121E+12,5.48796E+12
Timor-Leste,TLS,1599338100,1559894900,2017924900
Middle East & North Africa (IDA & IBRD countries),TMN,1.42012E+12,1.50387E+12,
Tonga,TON,460379145,489235527.4,512350059.4
South Asia (IDA & IBRD),TSA,3.34572E+12,3.44547E+12,3.59184E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.64178E+12,1.72116E+12,1.76694E+12
Trinidad and Tobago,TTO,22474828527,23808146748,24269714810
Tunisia,TUN,39802430355,39770297329,38796687568
Turkey,TUR,8.58989E+11,7.78382E+11,7.61425E+11
Tuvalu,TUV,40619251.99,42588164.97,47271463.33
Tanzania,TZA,53320625959,58001200572,63177068175
Uganda,UGA,30756466548,32916147253,35165157017
Ukraine,UKR,1.1219E+11,1.30902E+11,1.53781E+11
Upper middle income,UMC,2.35807E+13,2.52733E+13,2.58078E+13
Uruguay,URY,59530088537,59596885024,56045912953
United States,USA,1.95194E+13,2.05802E+13,2.14332E+13
Uzbekistan,UZB,59159945321,50392607758,57921286440
St. Vincent and the Grenadines,VCT,792177777.8,811300000,824718518.5
"Venezuela, RB",VEN,,,
British Virgin Islands,VGB,,,
Virgin Islands (U.S.),VIR,3855000000,,
Vietnam,VNM,2.2378E+11,2.45214E+11,2.61921E+11
Vanuatu,VUT,880043553.7,914700508.2,934239973.8
World,WLD,8.1306E+13,8.64394E+13,8.77985E+13
Samoa,WSM,832153612.6,821496064.5,852250191
Kosovo,XKX,7245707185,7942961738,7926133714
"Yemen, Rep.",YEM,26736139802,23486270352,22581081994
South Africa,ZAF,3.49554E+11,3.68289E+11,3.51432E+11
Zambia,ZMB,25868165345,26312140829,23309773923
Zimbabwe,ZWE,22040902300,24311560500,21440758800
